:Product: Daily Particle Data        2015_DPD.txt
:Issued: 1800 UT 02 Jan 2016
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                           2015 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2015 04 09    3.9e+05  1.1e+04  2.7e+03   4.0e+08    6.4e+06          -999.99
2015 04 10    9.4e+04  9.6e+03  2.3e+03   6.5e+07    5.2e+05          -999.99
2015 04 11    1.0e+05  9.8e+03  2.3e+03   1.1e+08    1.3e+05          -999.99
2015 04 12    5.0e+04  1.0e+04  2.4e+03   1.9e+08    4.4e+05          -999.99
2015 04 13    9.5e+04  1.1e+04  2.4e+03   1.5e+08    7.0e+05          -999.99
2015 04 14    2.7e+05  1.1e+04  2.4e+03   1.5e+08    7.4e+05          -999.99
2015 04 15    7.2e+05  1.2e+04  2.4e+03   1.6e+08    6.1e+05          -999.99
2015 04 16    1.3e+06  1.0e+04  2.4e+03   1.1e+09    2.7e+07          -999.99
2015 04 17    6.0e+05  9.7e+03  2.3e+03   2.0e+09    5.9e+07          -999.99
2015 04 18    6.3e+05  9.5e+03  2.4e+03   4.1e+09    1.5e+08          -999.99
2015 04 19    3.9e+05  1.0e+04  2.5e+03   4.4e+09    2.3e+08          -999.99
2015 04 20    6.7e+05  1.0e+04  2.4e+03   1.7e+09    7.0e+07          -999.99
2015 04 21    5.7e+05  1.0e+04  2.4e+03   9.0e+08    3.3e+07          -999.99
2015 04 22    3.5e+05  1.6e+04  2.4e+03   1.4e+09    2.8e+07          -999.99
2015 04 23    9.0e+05  4.6e+04  2.3e+03   2.3e+09    4.2e+07          -999.99
2015 04 24    6.4e+05  5.0e+04  2.7e+03   2.3e+09    5.1e+07          -999.99
2015 04 25    9.5e+05  4.0e+04  2.3e+03   2.4e+09    7.6e+07          -999.99
2015 04 26    1.5e+06  3.3e+04  2.7e+03   1.9e+09    6.9e+07          -999.99
2015 04 27    1.0e+06  2.2e+04  2.3e+03   1.1e+09    3.3e+07          -999.99
2015 04 28    4.0e+05  1.4e+04  2.7e+03   2.1e+08    3.1e+06          -999.99
2015 04 29    3.1e+05  1.2e+04  2.6e+03   2.0e+08    2.9e+06          -999.99
2015 04 30    3.2e+05  1.2e+04  2.5e+03   1.4e+08    1.3e+06          -999.99
2015 05 01    2.9e+05  1.2e+04  2.5e+03   1.2e+08    9.7e+05          -999.99
2015 05 02    2.8e+05  1.1e+04  2.5e+03   1.4e+08    2.6e+06          -999.99
2015 05 03    1.4e+05  1.1e+04  2.5e+03   3.0e+08    6.9e+06          -999.99
2015 05 04    2.2e+05  1.1e+04  2.5e+03   3.2e+08    8.9e+06          -999.99
2015 05 05    2.8e+05  1.0e+04  2.5e+03   2.3e+08    5.2e+06          -999.99
2015 05 06    2.8e+05  9.4e+03  2.0e+03   8.3e+07    1.6e+06          -999.99
2015 05 07    5.9e+04  9.9e+03  2.2e+03   1.4e+08    1.3e+06          -999.99
2015 05 08    7.9e+04  1.0e+04  2.6e+03   2.7e+08    1.1e+06          -999.99
2015 05 09    1.3e+05  1.0e+04  2.5e+03   3.2e+08    9.6e+05          -999.99
2015 05 10    5.8e+04  1.0e+04  2.4e+03   6.7e+07    1.6e+05          -999.99
2015 05 11    1.8e+05  1.0e+04  2.4e+03   3.1e+08    8.6e+05          -999.99
2015 05 12    2.4e+06  2.4e+05  3.4e+03   9.0e+07    4.2e+05          -999.99
2015 05 13    2.5e+06  1.9e+04  2.4e+03   5.3e+08    4.2e+06          -999.99
2015 05 14    1.3e+06  1.0e+04  2.4e+03   5.0e+09    1.6e+08          -999.99
2015 05 15    7.4e+05  1.1e+04  2.6e+03   5.7e+09    2.9e+08          -999.99
2015 05 16    6.4e+05  1.1e+04  2.6e+03   5.8e+09    4.0e+08          -999.99
2015 05 17    5.9e+05  1.0e+04  2.6e+03   4.9e+09    3.3e+08          -999.99
2015 05 18    3.6e+05  1.0e+04  2.5e+03   2.4e+09    1.4e+08          -999.99
2015 05 19    1.5e+05  1.0e+04  2.6e+03   1.3e+08    2.0e+06          -999.99
2015 05 20    2.4e+05  1.0e+04  2.4e+03   9.2e+08    5.4e+06          -999.99
2015 05 21    1.4e+05  1.0e+04  2.4e+03   1.5e+09    7.8e+06          -999.99
2015 05 22    1.4e+05  1.0e+04  2.6e+03   1.6e+09    9.2e+06          -999.99
2015 05 23    3.7e+05  1.0e+04  2.6e+03   1.8e+09    1.3e+07          -999.99
2015 05 24    1.0e+05  1.1e+04  2.6e+03   2.8e+08    1.4e+06          -999.99
2015 05 25    1.5e+05  1.1e+04  2.7e+03   2.6e+08    1.7e+06          -999.99
2015 05 26    1.6e+05  1.1e+04  2.8e+03   1.7e+08    7.8e+05          -999.99
2015 05 27    1.6e+05  1.1e+04  2.9e+03   9.9e+07    1.6e+05          -999.99
2015 05 28    1.1e+05  1.1e+04  2.7e+03   8.9e+07    2.0e+05          -999.99
2015 05 29    1.1e+05  1.1e+04  2.6e+03   6.7e+07    1.3e+05          -999.99
2015 05 30    1.2e+05  1.1e+04  2.7e+03   7.8e+07    2.2e+05          -999.99
2015 05 31    1.7e+05  1.1e+04  2.7e+03   9.5e+07    6.6e+05          -999.99
2015 06 01    1.4e+05  1.1e+04  2.6e+03   1.2e+08    5.2e+05          -999.99
2015 06 02    1.3e+05  1.1e+04  2.6e+03   1.2e+08    5.7e+05          -999.99
2015 06 03    1.5e+05  1.1e+04  2.6e+03   1.1e+08    4.8e+05          -999.99
2015 06 04    1.6e+05  1.1e+04  2.6e+03   1.0e+08    5.0e+05          -999.99
2015 06 05    1.8e+05  1.1e+04  2.6e+03   1.0e+08    5.7e+05          -999.99
2015 06 06    1.7e+05  1.1e+04  2.7e+03   5.2e+07    2.9e+05          -999.99
2015 06 07    7.8e+04  1.1e+04  2.7e+03   1.3e+07    5.3e+04          -999.99
2015 06 08    3.4e+05  1.2e+04  2.5e+03   2.2e+08    3.0e+05          -999.99
2015 06 09    7.1e+05  1.1e+04  2.6e+03   2.5e+09    3.7e+07          -999.99
2015 06 10    1.2e+06  1.1e+04  2.7e+03   3.6e+09    1.3e+08          -999.99
2015 06 11    6.6e+05  1.2e+04  2.8e+03   4.5e+09    2.1e+08          -999.99
2015 06 12    8.4e+05  1.2e+04  2.8e+03   4.4e+09    2.5e+08          -999.99
2015 06 13    4.3e+05  1.1e+04  2.5e+03   3.0e+09    1.4e+08          -999.99
2015 06 14    1.1e+06  1.1e+04  2.5e+03   9.4e+08    3.1e+07          -999.99
2015 06 15    8.2e+05  1.0e+04  2.4e+03   1.8e+09    6.4e+07          -999.99
2015 06 16    1.4e+05  1.2e+04  2.7e+03   2.6e+09    7.3e+07          -999.99
2015 06 17    1.4e+05  1.1e+04  2.6e+03   1.4e+09    4.6e+07          -999.99
2015 06 18    3.7e+06  7.3e+05  3.0e+03   1.5e+09    4.9e+07          -999.99
2015 06 19    6.3e+06  5.1e+05  2.8e+03   2.2e+09    5.6e+07          -999.99
2015 06 20    1.5e+06  1.0e+05  2.8e+03   2.6e+09    7.9e+07          -999.99
2015 06 21    1.0e+09  1.9e+07  2.7e+03   3.0e+08    8.0e+07          -999.99
2015 06 22    1.9e+08  2.7e+06  2.0e+03   1.3e+09    2.7e+07          -999.99
2015 06 23    1.2e+08  7.1e+05  2.4e+03   7.0e+09    6.5e+08          -999.99
2015 06 24    2.3e+07  3.2e+05  2.4e+03   1.6e+09    7.1e+07          -999.99
2015 06 25    1.0e+07  1.1e+06  3.0e+03   4.8e+09    1.1e+08          -999.99
2015 06 26    1.1e+07  7.2e+05  2.6e+03   6.3e+09    2.7e+08          -999.99
2015 06 27    9.2e+06  4.4e+05  2.5e+03   4.5e+09    2.3e+08          -999.99
2015 06 28    8.4e+06  2.3e+05  2.6e+03   5.2e+09    3.7e+08          -999.99
2015 06 29    4.7e+06  5.2e+04  3.0e+03   5.3e+09    4.6e+08          -999.99
2015 07 01    2.4e+06  7.3e+04  3.0e+03   3.4e+09    2.1e+08          -999.99
2015 07 02    5.5e+06  1.3e+05  2.8e+03   3.7e+09    2.9e+08          -999.99
2015 07 03    4.1e+06  3.3e+04  2.7e+03   3.5e+09    3.3e+08          -999.99
2015 07 04    3.2e+06  1.7e+04  2.6e+03   1.1e+09    5.8e+07          -999.99
2015 07 05    2.2e+05  1.1e+04  2.5e+03   3.5e+08    7.5e+05          -999.99
2015 07 06    1.9e+05  1.1e+04  2.5e+03   1.6e+09    1.4e+07          -999.99
2015 07 07    1.5e+05  1.2e+04  2.7e+03   2.3e+09    2.7e+07          -999.99
2015 07 08    1.4e+05  1.1e+04  2.7e+03   3.0e+09    4.3e+07          -999.99
2015 07 09    1.7e+05  1.1e+04  2.7e+03   3.1e+09    5.5e+07          -999.99
2015 07 10    5.2e+05  1.1e+04  2.9e+03   2.9e+09    9.2e+07          -999.99
2015 07 11    1.9e+05  1.1e+04  2.5e+03   2.4e+08    7.1e+05          -999.99
2015 07 12    2.1e+05  1.1e+04  2.6e+03   2.0e+09    2.0e+07          -999.99
2015 07 13    1.2e+06  1.1e+04  2.3e+03   9.0e+08    8.6e+06          -999.99
2015 07 14    1.2e+06  1.1e+04  2.6e+03   2.9e+09    5.5e+07          -999.99
2015 07 15    3.2e+05  1.1e+04  2.8e+03   3.9e+09    1.5e+08          -999.99
2015 07 16    2.3e+05  1.1e+04  2.7e+03   4.0e+09    1.6e+08          -999.99
2015 07 17    1.4e+05  1.1e+04  2.6e+03   5.3e+09    2.8e+08          -999.99
2015 07 18    1.4e+05  1.1e+04  2.7e+03   5.4e+09    3.1e+08          -999.99
2015 07 19    2.8e+05  1.1e+04  2.8e+03   5.4e+09    4.0e+08          -999.99
2015 07 20    4.6e+05  1.1e+04  2.8e+03   1.9e+09    8.2e+07          -999.99
2015 07 21    4.0e+05  1.1e+04  2.6e+03   2.1e+08    3.3e+06          -999.99
2015 07 22    1.7e+05  1.1e+04  2.8e+03   2.0e+08    2.9e+06          -999.99
2015 07 23    1.6e+05  1.1e+04  2.7e+03   6.9e+08    1.5e+06          -999.99
2015 07 24    1.6e+05  1.1e+04  2.8e+03   2.0e+09    6.2e+06          -999.99
2015 07 25    1.3e+05  1.1e+04  2.7e+03   3.2e+09    3.1e+07          -999.99
2015 07 26    2.7e+05  1.1e+04  2.6e+03   2.4e+09    3.5e+07          -999.99
2015 07 27    1.6e+05  1.1e+04  2.6e+03   7.1e+08    6.7e+06          -999.99
2015 07 28    2.9e+05  1.1e+04  2.6e+03   1.2e+09    1.3e+07          -999.99
2015 07 29    2.7e+05  1.1e+04  2.6e+03   2.0e+09    2.1e+07          -999.99
2015 07 30    3.4e+05  1.1e+04  2.7e+03   1.4e+09    1.8e+07          -999.99
2015 07 31    8.1e+04  1.1e+04  2.7e+03   8.0e+07    2.4e+05          -999.99
2015 08 01    4.2e+05  1.1e+04  2.7e+03   1.1e+09    4.4e+06          -999.99
2015 08 02    2.5e+05  1.1e+04  2.8e+03   2.2e+09    2.4e+07          -999.99
2015 08 03    1.7e+05  1.1e+04  2.6e+03   3.2e+09    4.5e+07          -999.99
2015 08 04    2.1e+05  1.1e+04  2.8e+03   2.9e+09    6.2e+07          -999.99
2015 08 05    1.6e+05  1.1e+04  2.8e+03   2.2e+09    4.5e+07          -999.99
2015 08 06    3.3e+05  1.1e+04  2.7e+03   1.3e+09    2.0e+07          -999.99
2015 08 07    1.3e+06  1.1e+04  2.7e+03   2.1e+09    3.9e+07          -999.99
2015 08 08    1.9e+05  1.1e+04  2.7e+03   1.3e+09    1.9e+07          -999.99
2015 08 09    4.0e+05  1.1e+04  2.6e+03   1.8e+09    5.0e+07          -999.99
2015 08 10    1.3e+05  1.1e+04  2.7e+03   1.6e+09    4.1e+07          -999.99
2015 08 11    1.4e+05  1.1e+04  2.6e+03   3.3e+09    1.1e+08          -999.99
2015 08 12    1.7e+05  1.1e+04  2.6e+03   2.0e+09    7.0e+07          -999.99
2015 08 13    1.7e+05  1.2e+04  2.7e+03   6.7e+08    7.9e+06          -999.99
2015 08 14    1.0e+05  1.1e+04  2.7e+03   6.8e+08    1.0e+07          -999.99
2015 08 15    2.2e+05  1.0e+04  2.4e+03   2.2e+08    1.5e+06          -999.99
2015 08 16    3.0e+05  1.1e+04  2.6e+03   1.3e+09    2.8e+07          -999.99
2015 08 17    9.2e+05  1.1e+04  2.7e+03   3.7e+09    2.3e+08          -999.99
2015 08 18    3.8e+05  1.1e+04  3.0e+03   8.9e+09    8.6e+08          -999.99
2015 08 19    4.2e+05  1.2e+04  3.0e+03   2.4e+09    9.5e+07          -999.99
2015 08 20    4.1e+05  1.2e+04  2.7e+03   4.1e+09    2.2e+08          -999.99
2015 08 21    2.9e+05  1.1e+04  2.7e+03   4.9e+09    3.4e+08          -999.99
2015 08 22    1.5e+05  1.1e+04  2.6e+03   2.6e+09    1.8e+08          -999.99
2015 08 23    2.6e+05  1.1e+04  2.7e+03   6.0e+08    6.2e+06          -999.99
2015 08 24    2.3e+05  1.1e+04  2.8e+03   3.5e+09    5.5e+07          -999.99
2015 08 25    1.3e+05  1.1e+04  2.7e+03   2.4e+09    4.6e+07          -999.99
2015 08 26    2.3e+05  1.1e+04  2.3e+03   4.8e+08    8.2e+06          -999.99
2015 08 27    5.1e+05  1.0e+04  2.5e+03   3.3e+08    5.7e+06          -999.99
2015 08 28    2.7e+05  1.1e+04  2.9e+03   1.9e+08    3.4e+06          -999.99
2015 08 29    1.9e+05  1.2e+04  3.2e+03   1.3e+09    1.9e+07          -999.99
2015 08 30    1.6e+05  1.2e+04  2.8e+03   2.4e+09    6.5e+07          -999.99
2015 08 31    1.3e+05  1.1e+04  2.7e+03   3.4e+09    1.5e+08          -999.99
2015 09 01    2.8e+05  1.1e+04  2.7e+03   3.5e+09    1.5e+08          -999.99
2015 09 02    5.5e+05  1.1e+04  2.6e+03   1.9e+09    7.9e+07          -999.99
2015 09 03    1.1e+05  1.1e+04  2.7e+03   5.2e+08    1.2e+07          -999.99
2015 09 04    1.6e+05  1.2e+04  2.8e+03   1.1e+09    8.2e+06          -999.99
2015 09 05    2.5e+05  1.2e+04  2.8e+03   2.9e+09    7.7e+07          -999.99
2015 09 06    1.7e+05  1.1e+04  2.6e+03   1.9e+09    5.2e+07          -999.99
2015 09 07    9.0e+05  1.1e+04  2.5e+03   1.4e+09    4.4e+07          -999.99
2015 09 08    2.3e+05  1.0e+04  2.2e+03   3.6e+08    7.9e+06          -999.99
2015 09 09    7.5e+05  1.1e+04  2.6e+03   3.5e+08    8.2e+06          -999.99
2015 09 10    3.6e+05  1.2e+04  2.9e+03   2.2e+09    7.2e+07          -999.99
2015 09 11    3.6e+06  1.1e+04  2.6e+03   6.2e+08    2.3e+07          -999.99
2015 09 12    1.1e+06  1.1e+04  2.4e+03   5.1e+09    3.2e+08          -999.99
2015 09 13    8.4e+05  1.1e+04  2.5e+03   4.9e+09    3.4e+08          -999.99
2015 09 14    3.9e+05  1.1e+04  2.6e+03   2.7e+09    1.6e+08          -999.99
2015 09 15    4.9e+05  1.1e+04  2.7e+03   3.5e+09    1.6e+08          -999.99
2015 09 16    3.4e+05  1.1e+04  2.6e+03   3.8e+09    2.3e+08          -999.99
2015 09 17    5.2e+05  1.2e+04  2.8e+03   3.9e+09    2.4e+08          -999.99
2015 09 18    2.4e+05  1.1e+04  2.7e+03   1.5e+09    5.9e+07          -999.99
2015 09 19    7.2e+05  1.2e+04  3.0e+03   7.7e+08    1.6e+07          -999.99
2015 09 20    1.1e+06  3.8e+04  2.8e+03   5.5e+08    8.1e+06          -999.99
2015 09 21    3.1e+06  3.6e+04  2.8e+03   1.2e+09    1.3e+07          -999.99
2015 09 22    1.4e+06  1.2e+04  2.6e+03   1.7e+09    3.2e+07          -999.99
2015 09 23    4.2e+05  1.1e+04  2.6e+03   9.9e+08    1.6e+07          -999.99
2015 09 24    2.1e+05  1.1e+04  2.7e+03   1.1e+09    2.0e+07          -999.99
2015 09 25    5.7e+05  1.1e+04  2.8e+03   1.4e+09    2.0e+07          -999.99
2015 09 26    4.8e+05  1.1e+04  2.8e+03   1.4e+09    3.1e+07          -999.99
2015 09 27    3.6e+05  1.1e+04  2.8e+03   9.4e+08    2.2e+07          -999.99
2015 09 28    3.0e+05  1.2e+04  2.8e+03   8.5e+08    2.0e+07          -999.99
2015 09 29    1.5e+05  1.1e+04  2.8e+03   1.9e+08    2.5e+06          -999.99
2015 09 30    5.0e+05  1.9e+04  2.7e+03   1.8e+08    3.3e+06          -999.99
2015 10 01    7.1e+06  3.3e+04  2.9e+03   2.5e+08    6.7e+06          -999.99
2015 10 02    3.1e+06  1.3e+04  2.9e+03   4.8e+08    1.3e+06          -999.99
2015 10 03    4.3e+05  1.1e+04  2.6e+03   3.0e+08    7.6e+05          -999.99
2015 10 04    5.2e+05  1.1e+04  2.6e+03   4.8e+08    1.9e+06          -999.99
2015 10 05    9.8e+05  1.1e+04  2.7e+03   2.2e+09    5.6e+07          -999.99
2015 10 06    4.7e+05  1.1e+04  2.6e+03   2.2e+09    9.4e+07          -999.99
2015 10 07    7.4e+05  1.1e+04  2.6e+03   3.0e+08    4.1e+06          -999.99
2015 10 08    1.6e+07  1.1e+04  2.8e+03   5.3e+09    4.8e+08          -999.99
2015 10 09    3.4e+06  1.1e+04  2.9e+03   9.7e+09    1.7e+09          -999.99
2015 10 10    7.0e+05  1.2e+04  2.7e+03   1.1e+10    2.2e+09          -999.99
2015 10 11    9.0e+05  1.1e+04  2.8e+03   9.4e+09    2.1e+09          -999.99
2015 10 12    2.2e+06  1.1e+04  2.7e+03   3.9e+09    6.2e+08          -999.99
2015 10 13    1.1e+06  1.1e+04  2.6e+03   3.0e+09    2.4e+08          -999.99
2015 10 14    1.2e+06  1.1e+04  2.6e+03   3.6e+09    2.7e+08          -999.99
