:Product: Daily Geomagnetic Data     2015_DGD.txt
:Issued: 1800 UT 02 Jan 2016
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                       2015 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2015 03 10     4  1 1 2 2 1 2 1 0     6  1 1 1 4 1 1 1 0     5  2 2 2 2 1 1 1 1
2015 03 11     8  0 3 2 2 2 3 2 1    14  1 2 3 3 4 4 3 1     9  1 3 2 2 2 3 2 1
2015 03 12     6  1 3 2 2 2 2 1 0    13  1 2 3 5 3 2 2 0     8  2 3 2 3 2 2 1 0
2015 03 13     5  1 0 0 1 3 3 1 1    -1  1-1-1-1-1-1-1-1     6  1 1 1 1 3 2 1 1
2015 03 14     5  0 2 1 2 2 2 1 2    -1  1-1-1-1-1-1-1-1     5  1 2 2 2 2 1 1 2
2015 03 15     7  1 2 3 1 2 2 2 2    -1 -1-1-1-1-1-1-1-1     7  2 2 3 2 1 2 2 1
2015 03 16     9  2 3 3 2 2 2 2 2     0 -1-1-1-1-1-1 0 0    11  2 3 3 3 2 3 1 1
2015 03 17    46  2 4 5 4 6 5 5 6   106  2 3 6 6 8 8 7 5   117  2 5 6 6 8 8 7 8
2015 03 18    32  5 4 3 4 5 5 3 4    60  4 4 6 6 6 7 4 3    52  6 5 4 5 5 6 5 5
2015 03 19    19  4 4 3 4 4 2 2 3    47  3 4 5 6 7 4 4 3    28  4 4 4 5 5 3 3 4
2015 03 20    18  4 2 4 3 3 3 2 4    32  4 3 5 6 4 3 4 3    24  5 3 5 3 3 3 3 5
2015 03 21    12  4 2 3 3 2 2 2 2    18  3 2 5 4 4 2 2 1    14  4 3 4 3 2 2 2 2
2015 03 22    16  2 3 5 4 3 2 1 1    39  2 3 7 5 6 3 1 1    24  2 3 6 4 4 1 1 1
2015 03 23    16  4 4 2 3 3 3 2 3    31  3 4 3 5 5 6 2 2    21  4 5 3 3 4 3 2 3
2015 03 24     9  2 1 2 2 3 3 2 2    15  2 1 0 4 4 5 2 1    12  2 2 2 2 3 4 2 2
2015 03 25    10  2 2 2 3 3 2 3 2    20  2 2 3 6 3 3 3 1    13  2 2 3 4 3 2 3 2
2015 03 26     7  1 1 2 1 2 2 2 3     5  2 1 2 0 2 2 1 2     8 
